LotArea,YearBuilt,TotalBsmtSF,1stFlrSF,GrLivArea,SalePrice
8450,2003,856,856,1710,208500
9600,1976,1262,1262,1262,181500
11250,2001,920,920,1786,223500
9550,1915,756,961,1717,140000
14260,2000,1145,1145,2198,250000
14115,1993,796,796,1362,143000
10084,2004,1686,1694,1694,307000
10382,1973,1107,1107,2090,200000
6120,1931,952,1022,1774,129900
7420,1939,991,1077,1077,118000
11200,1965,1040,1040,1040,129500
11924,2005,1175,1182,2324,345000
12968,1962,912,912,912,144000
10652,2006,1494,1494,1494,279500
10920,1960,1253,1253,1253,157000
6120,1929,832,854,854,132000
11241,1970,1004,1004,1004,149000
10791,1967,0,1296,1296,90000
13695,2004,1114,1114,1114,159000
7560,1958,1029,1339,1339,139000
14215,2005,1158,1158,2376,325300
7449,1930,637,1108,1108,139400
9742,2002,1777,1795,1795,230000
4224,1976,1040,1060,1060,129900
8246,1968,1060,1060,1060,154000
14230,2007,1566,1600,1600,256300
7200,1951,900,900,900,134800
11478,2007,1704,1704,1704,306000
16321,1957,1484,1600,1600,207500
6324,1927,520,520,520,68500
8500,1920,649,649,1317,40000
8544,1966,1228,1228,1228,149350
11049,2007,1234,1234,1234,179900
10552,1959,1398,1700,1700,165500
7313,2005,1561,1561,1561,277500
13418,2004,1117,1132,2452,309000
10859,1994,1097,1097,1097,145000
8532,1954,1297,1297,1297,153000
7922,1953,1057,1057,1057,109000
6040,1955,0,1152,1152,82000
8658,1965,1088,1324,1324,160000
16905,1959,1350,1328,1328,170000
9180,1983,840,884,884,144000
9200,1975,938,938,938,130250
7945,1959,1150,1150,1150,141000
7658,2005,1752,1752,1752,319900
12822,2003,1434,1518,2149,239686
11096,2006,1656,1656,1656,249700
4456,1920,736,736,1452,113000
7742,1966,955,955,955,127000
13869,1997,794,794,1470,177000
6240,1934,816,816,1176,114500
8472,1963,816,816,816,110000
50271,1981,1842,1842,1842,385000
7134,1955,384,1360,1360,130000
10175,1964,1425,1425,1425,180500
2645,1999,970,983,1739,172500
11645,2004,860,860,1720,196500
13682,2006,1410,1426,2945,438780
7200,1972,780,780,780,124900
13072,2004,1158,1158,1158,158000
7200,1920,530,581,1111,101000
6442,2006,1370,1370,1370,202500
10300,1921,576,902,1710,140000
9375,1997,1057,1057,2034,219500
9591,2004,1143,1143,2473,317000
19900,1970,1947,2207,2207,180000
10665,2003,1453,1479,1479,226000
4608,1945,747,747,747,80000
15593,1953,1304,1304,2287,225000
13651,1973,2223,2223,2223,244000
7599,1982,845,845,845,129500
10141,1998,832,885,1718,185000
10200,1954,1086,1086,1086,144900
5790,1915,840,840,1605,107400
1596,1973,462,526,988,91000
8475,1956,952,952,952,135750
8635,1948,672,1072,1285,127000
10778,1968,1768,1768,1768,136500
10440,1910,440,682,1230,110000
13000,1968,896,1182,2142,193500
4500,1998,1237,1337,1337,153500
10206,2007,1563,1563,1563,245000
8892,1960,1065,1065,1065,126500
8530,1995,384,804,1474,168500
16059,1991,1288,1301,2417,260000
11911,2005,684,684,1560,174000
3951,2009,612,612,1224,164500
8470,1915,1013,1013,1526,85000
8070,1994,990,990,990,123600
7200,1950,0,1040,1040,109900
8500,1961,1235,1235,1235,98600
13360,1921,876,964,964,163500
7200,1910,1214,1260,2291,133900
9337,1997,824,905,1786,204750
9765,1993,680,680,1470,185000
10264,1999,1588,1588,1588,214000
10921,1965,960,960,960,94750
10625,1920,458,835,835,83000
9320,1959,950,1225,1225,128950
10603,1977,1610,1610,1610,205000
9206,1985,741,977,1732,178000
7018,1979,0,1535,1535,118964
10402,2009,1226,1226,1226,198900
7758,1931,1040,1226,1818,169500
9375,2003,1053,1053,1992,250000
6000,1948,789,789,789,115000
8500,1919,793,997,1517,115000
11751,1977,1844,1844,1844,190000
9525,1954,994,1216,1855,136900
7750,2000,384,774,1430,180000
9965,2007,1264,1282,2696,383970
21000,1953,1809,2259,2259,217000
7259,1945,1028,1436,2320,259500
3230,1999,729,729,1458,176000
11616,1962,1092,1092,1092,139000
8536,2006,1125,1125,1125,155000
12376,1990,1673,1699,3222,320000
8461,2005,728,728,1456,163990
21453,1969,938,988,988,180000
6060,1939,732,772,1123,100000
9464,1958,1080,1080,1080,136000
7892,1993,1199,1199,1199,153900
17043,1979,1362,1586,1586,181000
6780,1935,520,520,754,84500
4928,1976,1078,958,958,128000
4388,1930,672,840,840,87000
7590,1966,660,660,1348,155000
8973,1958,1008,1053,1053,150000
14200,1966,924,1216,2157,226000
12224,2000,992,1022,2054,244000
7388,1959,1063,1327,1327,150750
6853,2001,1267,1296,1296,220000
10335,1968,1461,1721,1721,180000
10400,1970,1304,1682,1682,174000
10355,1967,1214,1214,1214,143000
11070,1988,1907,1959,1959,171000
9066,1999,1004,1004,1852,230000
15426,1997,928,928,1764,231500
10500,1971,864,864,864,115000
11645,2005,1734,1734,1734,260000
8520,1952,910,910,1385,166000
10335,1999,1490,1501,1501,204000
9100,1963,1728,1728,1728,125000
2522,2004,970,970,1709,130000
6120,1931,715,875,875,105000
9505,2001,884,884,2035,222500
7500,2004,1080,1080,1080,141000
6240,1936,896,896,1344,115000
10356,1975,969,969,969,122000
13891,2007,1710,1710,1710,372402
14803,1971,825,1097,1993,190000
13500,1960,1602,1252,1252,235000
11340,1923,1200,1200,1200,125000
9600,1924,572,572,1096,79000
7200,1950,0,1040,1040,109500
12003,2009,774,774,1968,269500
12552,2004,991,991,1947,254900
19378,2005,1392,1392,2462,320000
11120,1984,1232,1232,1232,162500
13688,2003,1572,1572,2668,412500
12182,2005,1541,1541,1541,220000
5500,1956,882,882,882,103200
5400,1926,1149,1149,1616,152000
10106,1940,644,808,1355,127500
10708,1955,1617,1867,1867,190000
10562,2007,1582,1610,2161,325624
8244,2004,840,840,1720,183500
16669,1981,1686,1707,1707,228000
12358,1941,720,854,1382,128500
31770,1960,1080,1656,1656,215000
5306,1987,1064,1064,1767,239000
10197,1961,1362,1362,1362,163000
12416,1986,1606,1651,1651,184000
12615,1950,1202,2158,2158,243000
10029,1988,1151,1164,2060,211000
13650,1958,1052,1252,1920,172500
17423,2008,2216,2234,2234,501837
8520,1923,968,968,968,100000
2117,2000,756,769,1525,177000
7588,1920,793,901,1802,200100
9060,1957,0,1340,1340,120000
11426,2003,1362,1362,2082,200000
7438,1908,504,936,1252,127000
9947,1990,1188,1217,1217,173000
10410,1916,660,808,1656,135000
7018,1979,1086,1224,1224,153337
4923,2001,1593,1593,1593,286000
10570,1932,853,1549,2727,315000
7472,1972,725,725,1479,184000
9017,1999,1431,1431,1431,192000
2522,2004,970,970,1709,130000
7180,1972,864,864,864,127000
2280,1976,855,855,1456,148500
9416,2007,1726,1726,1726,311872
25419,1918,1360,1360,3112,235000
5520,1912,755,929,2229,104000
9591,2004,1713,1713,1713,274900
8546,2003,1121,1121,1121,140000
10125,1977,1196,1279,1279,171500
7000,1924,617,865,1310,112000
4438,2004,848,848,848,149000
3500,1947,720,720,1284,110000
11851,1990,1424,1442,1442,180500
13673,1962,1140,1696,1696,143900
12493,1960,1100,1100,1100,141000
14364,1988,1157,1180,2062,277000
8250,1964,1092,1092,1092,145000
5604,1925,864,864,864,98000
10420,2009,1212,1212,1212,186000
8640,2009,900,932,1852,252678
13568,1995,990,990,990,156000
10900,1977,689,689,1392,161750
10011,1957,1070,1236,1236,134450
8450,2004,1436,1436,1436,210000
9906,1925,686,810,1328,107000
15660,1939,798,1137,1954,311500
3010,2005,1248,1248,1248,167240
8990,2006,1498,1498,1498,204900
8068,2002,1010,1010,2267,200000
11475,1975,713,811,1552,179900
10500,1971,864,864,864,97000
13472,2003,2392,2392,2392,386250
1680,1971,630,630,1302,112000
9950,1995,1203,1214,2520,290000
1869,1970,483,483,987,106000
8521,1967,912,912,912,125000
3182,2005,1373,1555,1555,192500
8760,1959,1194,1194,1194,148000
15138,1995,1462,1490,2794,403000
1680,1972,483,483,987,94500
10650,1976,894,894,894,128200
7851,2002,860,860,1960,216500
1680,1971,483,483,987,89500
8773,2004,1414,1414,1414,185500
9453,1993,996,1014,1744,194500
12030,2007,1694,1694,1694,318000
8741,1945,735,798,1487,113000
9000,2008,1566,1566,1566,262500
3880,1945,686,866,866,110500
10762,1980,626,626,1217,120000
8880,1994,948,1222,2110,205000
10400,1988,1845,1872,1872,241500
9142,1910,1020,908,1928,137000
11310,1954,1367,1375,1375,140000
11317,2003,840,840,1668,180000
5350,1940,728,1306,1306,76500
4750,2006,1573,1625,1625,235000
8366,2004,798,798,1640,173000
9350,1964,1302,1302,1302,158000
8400,1957,1314,1314,1314,145000
8738,1999,975,1005,2291,230000
8791,2003,864,864,1728,207500
8814,2006,1604,1604,1604,220000
12435,2001,963,963,1792,231500
12702,1956,0,882,882,97000
19296,1962,1362,1382,1382,176000
9588,2007,1482,1482,2574,276000
8471,1977,506,1212,1212,151000
5500,1929,926,926,1316,130000
5232,1925,680,764,764,73000
12090,1981,1422,1422,1422,175500
11207,1997,802,802,1511,185000
8400,1939,720,1052,2192,179500
6900,1940,740,778,778,120500
7917,1976,1143,1113,1113,148000
10728,2006,1095,1095,1939,266000
39104,1954,1385,1363,1363,241500
11764,1999,1152,1164,2270,290000
9600,1958,1240,1632,1632,139000
8314,1982,816,816,816,124500
7264,1925,952,952,1548,205000
9196,2003,1560,1560,1560,201000
19138,1951,864,864,864,141000
14450,2006,2121,2121,2121,415298
10005,1977,1160,1156,2022,192000
11287,1989,807,1175,1982,228500
7200,2006,1262,1262,1262,185000
5063,2007,1314,1314,1314,207500
9612,2008,1468,1468,1468,244600
8012,1992,1575,1575,1575,179200
4251,2006,625,625,1250,164700
9786,1962,912,1085,1734,159000
8125,1971,858,858,858,88000
